,reviews,Review Sentiment,Sentiment
11,"incredibly heartless and incompetent company. my son and i flew to geneva last sunday for a skiing holiday in les arc. the flight was cancelled moments prior to boarding and we were transferred to a flight departing three and a half hours later, that then got delayed by a further three hours. they didn't load any food on to the plane and forgot to load the baggage for all the business class passengers who had been on the earlier flight. problems happen, it's a complex operation. what is totally unacceptable is the service one receives when there is a problem. the offshore call centres are unhelpful and obstructive, wanting to fob off issues by getting the customer to call special help lines that merely refer one to a webpage and then cut off. the web pages are often unable to give information as they are not updated and often refuse to update your inputs 'at this time. please try again later'. there is no access to people that are willing to help, empowered to help, or actually move a situation forwards in any way. we've been sitting in a hotel waiting for the bag to arrive for two and a half days, unable to ski due to our entire wardrobes being in the cases. the outdated luggage 'tracking system', had the suitacase in geneva 2 days ago, where it sat with no-one willing to step up and get it delivered. what an incredibly heartless and incompetent company.",-0.8462,Negative
12,"their service was hit-and-miss. for the price paid (bought during a sale) it was a decent experience although the club class (business class) seats offer no more legroom than economy class (using short-haul fleet on a 4 hour flight). fast track through security was not honoured. the lounge at istanbul airport was over-crowded as it is also open to the public who can pay for usage, causing a long queue for entry , which was badly organised. boarding was smooth, cabin crew were friendly but their service was hit-and-miss. eg. some people got a “welcome” and some didn’t; half of the cabin was automatically offered coffee after dinner but not the other half. however, drinks were replenished generously and regularly and the meal was good (with a choice of three mains from the menu).",0.7708,Positive
13," worse than a low-cost carrier. flight left on time and arrived over half an hour earlier than scheduled (thanks to strong tail winds). the flight was full but no catering had been loaded for economy passenger at heathrow so for 3 and a half hours we only had a small bottle of water and a small packet of corn snacks. nothing at all available to even buy to eat! worse than a low-cost carrier experience in this sense. one of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passenger's head for the whole flight (poor maintenance of cabin). i would choose another airline on this route in the future, as one of their competitors offers full meal service on this route even in the economy cabin.",-0.9656,Negative
14,"very poor business class product. very poor business class product, ba is not even close to the other airline leaders. which ever way they sell the seat on a 777 it is a 2-4-2 layout. the cabin feels and is very cramped. the food in business class is economy quality just served in a china dish! however, the price of course is at premier levels. the only positive of the whole fight and return were the cabin crew who were fantastic. i felt genuinely sorry for them having to try and flog such a poor product. would i fly ba business again? only if their were no other options and i had no choice.",-0.7082,Negative
15,"if gf - take your own food. this review is for lhr-syd-lhr. ba015 and ba016. business class had a 1-2-1 configuration on 777 giving space, privacy and easy aisle access. seat reclines into comfortable flat bed. good quality pillow and duvet. privacy with sliding door. good storage space around the seat and charging point. flights on time - no delays. gluten free meals were very poor in quality and presentation. warm processed meat between two bland slices of gf bread apparently is a business class breakfast. on two sectors the main course (no choice offered) was bland fish which was served in a single small tray covered with foil - in business class? condensation had formed as the dish was reheated (probably from chilled) so the offering was sitting in a weak watery liquid. one crew member appeared genuinely apologetic as they meekly served one meal. do ba also serve the same gf offering in economy, economy plus and first on a long haul flight? my advice if gf - take your own food or dine in the lounge if you are in the care of ba for 24 hours. my travelling companion had very good regular meals, or so they told me, with a choice of main course on the same flights. crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging. usual hospitality industry waffle about service but little of substance delivered.",0.9044,Positive
19,"incompetence in customer service. i recently encountered a highly disappointing experience with british airways, specifically regarding their customer service. after my initial flight leg was canceled, i was rebooked with a connection at london heathrow reduced to a mere 1 hour and 30 minutes. realizing the impracticality of this, i promptly contacted british airways within 10 minutes to request a more reasonable layover of 3-4 hours. shockingly, the customer support representative flatly refused, citing an inability to change my flight. despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures, i received no assistance. to add to the frustration, the representative inaccurately noted on my account that i was presented with multiple options during our conversation. moreover, the use of military time format and the lack of initial options provided only exacerbated the communication issues. both phone and email support proved equally incompetent, and i was informed that customer service is outsourced to india, allegedly contributing to the subpar service. this experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid british airways in the future. the lack of assistance, blame-shifting, and overall incompetence in customer service make it my worst experience yet. i strongly advise others to steer clear of british airways and their appalling customer service.",-0.8855,Negative
22,"does ba pay experts to design these breakfasts. all 4 of our flights were fine in terms of comfort, punctuality and service. i feel safe with ba and that is my main reason for booking with them even though i could travel with other airlines more directly. on our return flight atl/lhr we skipped the evening meal preferring to sleep and were looking forward to a hearty breakfast prior to arrival at lhr. sadly we were seriously disappointed. to serve a chicken sausage in a wrap for a business class breakfast is just unacceptable. does ba actually pay experts to design these breakfasts? low point on an otherwise good trip.",-0.4588,Neutral
23,"business class seats were abysmal. i had hoped this would be a good review but unfortunately it won’t be. i flew business class from lhr to pdx on the ba nonstop. it was a 787–8 series aircraft. the flight attendant specifically mentioned it was eight years old as he recalled flying it when it was brand new. the business class seats were abysmal. my seat was at the window facing backwards. with the divider down, which had to be in that position for boarding, taxi, takeoff and landing, i was literally just a few feet away from the person in the aisle seat who was facing forward, we both couldn’t help but stare at one another. it couldn’t be avoided. it was horrible. the service wasn’t all that good either. the flight attendant did a pre-dinner drink. when she came back to ask for my choice for dinner, she said none of my selection were left. i was a little upset as nothing else appealed to me. she then came back later, and said the other part of the aircraft had more of the meal selection i wanted. i’m not sure why they didn’t coordinate that to begin with. i was not offered any wine or other drink with with dinner. the meal was put down in front of me and the flight attendant never came back other than to clear the tray. overall, this flight was not very good. i flew over on american and back on ba and paid $6000 round-trip. i’d fly american again. my preferred carrier is united or lufthansa. i’ll never fly ba again.",-0.369,Neutral
24,"worst service/airline ever. i was going to fly to frankfurt from glasgow over london but the flight from london to frankfurt was cancelled. this meant i had to stay overnight in london where i have no accommodation etc. as i was rebooked to a flight from london city airport which was more than 2h by train i had to get an uber and then take a hotel for £250 in total (london prices). i was reassured over the phone that i would get all the money back. my flight from london city airport was then cancelled again and rebooked to london heathrow but two days later. i then cancelled that flight and rebooked a new one with lufthansa as i urgently had to get to work and needed the money. i never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food i had to pay for, the uber, or the actual cost of the flight. i was first transferred 3€ by british airways. they stopped replying to me and told me the issue was ""weather conditions"" although other non-ba flights were going. i lost over £700 in total and never got compensated for the loss of a work day either. it just really feels like they don't care about people. worst service/airline ever.",-0.9751,Negative
25,"much better experience this time around. much better experience this time around. flew cpt to lhr on a new a350. checkin was efficient. i used the bidvest lounge at cpt as it is better than ba's lounge. boarding was speedy. the new business class club suites are very good. slightly irritating to be directed to the wrong seat (1a instead of 1k) which meant that after settling in the passenger in 1a showed up. we arranged a seat switch. second time in a row it has happened. why can't ba staff memorise which side of the plane is which and get it right? captain's announcement was short and on point. welcome drink was served at the correct temperature i.e. cold (first time ever for me - previously ba has always served the welcome champagne warm). ife system was good - everything worked as it should. felt slightly cheap that business class passengers have to pay for wifi. i did not bother. cocktail was good. the nuts came on a cheap plastic tray which was naff ... other airlines bring out something classier. a female flight attendant came to take my order and i asked for rooibas panacotta and the chicken breast. she repeated back to me ""so you want a p and a c"". it was such a bizarre thing to say that i misheard. i thought she said ""so you want beef and sea""? confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying ""p"" for panacotta and ""c"" for chicken. but how bizarre to repeat back an order to a passenger in code. why not just say, ""so to confirm panacotta to start and chicken as your main dish"", like every other restaurant / airline does in the world? the internal coding of food ordering is exactly that - internal. she even looked irritated at me that i did not understand her jargon first time. the food, when it came, was excellent. much much better than recent flights. i read somewhere that ba changed caterer. if so, it shows. the panacotta was superb as was the chicken ... good restaurant quality. the wine was ok to good but definitely not good to excellent. i feel that while the food has got better in ba business class, the wines have got worse. certainly compared to air france which i have also flown recently. the wine was brought out on time (not afer i finished eating as it was lass time i flew ba business). cheese was also good and not teeth crackingly cold as last time. i had a good night's sleep. plenty of snacks out if you wanted them (and they did not run out). breakfast was excellent and the coffee was hot (previously it has been lukewarm). so all in all a vastly improved service offering. the staff seemed rushed off their feet ... it would not hurt to have an extra flight attendant to look after so many business class seats. overall summary: vastly improved passenger proposition. it would be 10/10 but i deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes.",0.9944,Positive
26,"our compensation rights. once again a terrible business class experience with ba. the flight was delayed by 4.5 hours, the plane was very old with problems with at least 4 of the seats in business class not cleaned properly prior to departure. food was terrible as always with ba and only one choice available from advertised menu. as a result of the delay we missed our connecting flight from heathrow and instead of putting us on the next connection they chose the second last flight of the day - which was also delayed by over an hour meaning we had an additional 4 hour delay whilst at heathrow. at no point were we advised about our compensation rights (despite asking at check in and connections) or provided any vouchers during the delays. having flown etihad, qatar and virgin business class equivalents over the last year it is clear to see how big the gulf now is between ba and its rivals.",-0.9465,Negative
27,"a380's are showing their age. ba a380's are showing their age, hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours. cabin crew were good and helpful. dinner was ok but the breakfast was grim. on board entertainment was not the latest and seat back usb points didn't work. the only upside of ba is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this, if you're prepared to lay over then there are better airlines out there.",0.8047,Positive
28,"service was fantastic. credit to ba - flew to singapore recently and also back from doha to london and both experiences were great. service was fantastic as was the quality of the food, entertainment and was left feeling ba have got it together after a few previous below average experiences. you definitely notice the difference with the staff on ba - far more approachable and outgoing compared to the cold and corporate middle eastern airline crews. nice one ba for 2 great flights.",0.9768,Positive
29,"it was a very nice flight. the check in area for premium classes at gatwick is very nice, and there was no queue when i arrived so i was able to drop my bag very quickly. premium security at gatwick is fine. the flight was delayed due to nats issues, but the member of staff on arriving at the lounge let me know of this. the lounge is nicevand it’ very comfortable. there was an excellent range of food and drinks. all the drinks you would expect. food wise there were sandwiches, soup, pasta, salads, fruit, spanish stew, as well as turkey and ham pies with mashed potato, roasted parsnips and carrots and gravy. it was all really good and particularly nice to see so many options. boarding was pretty slow, although the gate crew did a good job to keep it well organised and allow priority passengers to board first. as has been well documented the onboard experience in terms of seat on ba europe business is pretty poor, but in line with other european carriers sadly. that being said, the seat is well padded and comfortable and the adjustable headrest is quite good. the on board catering was of excellent quality. i was lucky to get my preferred option of the roast turkey, but several people sat near me weren’t as lucky. i do understand that meal options may run out but when the meal options are roast turkey with all the trimmings, vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  or failing that, allow an order in advance service where you then only stock the meals that people want to eat. whilst i fully support the desire to minimise waste, both food and cost, people really should really be able to get the ideal meal option. unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable.. they also lost a bit of perspective about just how serious a situation it actually was! the cabin crew were  very nice, friendly and professional, if a little slow.. but not to the point of detracting from the positive experience i had. the ground service at gran canaria was pretty poor, priority bags clearly meant nothing. 95% of bags coming out were not priority, mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers. overall though it was a very nice flight, and having paid for it using avios and £1 i cannot complain at all.",0.9977,Positive
30,onboard service was efficient. the flight took off a little late due to heathrow congestion but still landed on schedule. boarding was smooth and the onboard service was efficient. a small snack was served for free with a bottle of water; additional items were available for purchase. the cabin and toilets were very clean. overall an unremarkable flight but in a good way!,0.9537,Positive
31,"lots of stress. ba is great in the air! but... they sell you connections thru london heathrow terminal 5 (their private, ba-only terminal) which you are practically not able to make. 90 minutes stopover time, european flight inbound, transatlantic flight outbound, you arrive at the terminal gate on time and... book, security! endless line, slow process. your boarding starts and you are nowhere near the x ray, and then.... it is a train ride withing the same terminal (but different, distant buildings). almost impossible to make. lots of stress.",0.3682,Neutral
32,"did not offer a wheelchair. i had broken my leg 2 days before our return flight from lisbon to london. i called to get some assistance from british airways, hoping for wheelchair assistance, an easier seat to get to, or possibly an upgrade so that i could stretch out my broken leg, which was in a cast. this airline failed on all fronts. quoted us a price of €6,000 each (i was traveling with my husband), which we could not do. almost didn't let me on the plane, trying to interpret my medical report. they did not attempt to change our seats, which were near the back. the single concession they made was to allow me to board 1st, but did not offer a wheelchair, so i had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat, as the aisles are not wide enough for crutches. might i add, i am nearly 70. had to exit same way. no wheelchair waiting for me at heathrow, had to hop onto bus with crutches to change terminals and nearly took a tumble doing so. took so long to get a wheelchair that they had to hold my connecting flight (on another airline) for me and we were last to board. that flight had allowed us to upgrade to business class, for a reasonable price, and took great care of me.",0.7992,Positive
33,seat was fine but product ageing. check in at mia straightforward. ba use american flagship lounge near gate d30 which is excellent. flight delayed but only by 1 hours. boarding chaotic. on board staff were fine. seat was fine too but product ageing. post take off service prompt. slept for 6 hours. i noticed that in club world ba have ditched rose champagne which is a shame. pre arrival breakfast was ok. slow to deplane. luggage off ok.,-0.4795,Neutral
34,"such a terrible customer experience. never i saw such a terrible customer experience. the plane landed already 30 minutes late: despite any operational delays, the boarding took over 1 hour because the crew did not know where to place the luggages. after this long 1 hour boarding process, the captain did not apologise.  this is extremely frustrating when this occurs on a night flight, forcing passengers to lose train connections to home.",-0.88,Negative
35,"i was pleasantly surprised. having not flown with ba for a few years, i read some of the reviews in preparation, needless to say i boarded this flight with low expectations. i was pleasantly surprised as the flight was ok. we left lhr a few minutes early and arrived at jnb ahead of schedule. cabin crew, although not as good as some carriers were attentive and professional. onboard catering was a disappointment as if you were unlucky to miss out on the chicken you were given a very sloppy pasta. on board entertainment has never been ba's strong point and sadly that hasn't changed. unfortunately ba is not the prestigious carrier it once was but its not as bad (from my experience) as some reviews suggest.",0.3047,Neutral
36,"buckle up, folks; this one's a rollercoaster. dear community i feel compelled to share the utter frustration and disappointment that defined my recent travel experience with british airways. buckle up, folks; this one's a rollercoaster. on july 16 and 17, 2023, i had the displeasure of flying with british airways on ba709 and ba7, and let me tell you, it was a nightmare. the initial flight from zurich (zrh) to london (lhr) on ba709 faced a seemingly unavoidable one-hour delay upon arrival at lhr. this, of course, resulted in me missing my connection to tokyo, triggering an automatic rescheduling of my flight to tokyo (hnd) via beijing with air china. oh, but the fun didn't stop there — flight ca183 was also delayed, turning my 16-hour delay into a grand total of 23 hours, finally arriving in tokyo at 23:00 instead of the promised 7:10. and the cherry on top? my four checked-in suitcases decided to take a detour and didn't join me in tokyo, forcing me to waste an additional two hours filling out forms at the baggage center. i finally got my lost luggage back on july 23, because why make it easy, right? but wait, there's more! my return flight from tokyo to zurich (ba8) on august 8 also danced to the delay tune, making me question if punctuality is just a myth for british airways. the cumulative impact of these delays torpedoed my vacation plans, stealing a whole day of scheduled activities, including a guided tokyo tour. as if that weren't enough, i had to dig deeper into my pockets for unforeseen expenses—extra airport transfers, tour operator assistance fees, emergency purchases, airport meals, and international calls for rearrangements. the lack of assistance at lhr airport was the icing on this bitter cake. installing the ba app just to get basic information about alternative connection flights was a hassle, and the fact that no ba clerk could provide this info in person was downright infuriating. british airways, you've left me with a sour taste in my mouth and a dent in my wallet. here's hoping you take this feedback seriously and step up your game because right now, it's not a good look. frustrated and fed up, bert",-0.9849,Negative
37,cabin crew excellent. quick bag drop at first wing but too many passengers so had to use fast track security in main terminal. direct entry to concorde room outside security south. ate excellent breakfast which was served promptly. concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar. boarding from c gates was disorganised and slow. on board cabin crew excellent. good choice of beverages and these were of high quality. food was good. seat comfortable. no first bedding provided. on time arrival into miami. baggage took 1 hour to arrive,0.9908,Positive
38,"service level far worse then ryanair. 4 hours before takeoff we received a mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. so did the capacity of the heathrow airport really hit british airways by surprise, 4h before departure? anyhow - we took the one hour delay so what - but then we have been forced to check in our hand luggage. i travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. overall 2h later at home than planed, with really no reason, just due to incompetent people. service level far worse then ryanair and triple the price. really never again. thanks for nothing.",-0.9342,Negative
39,"do not upgrade members based on status. i recently had a delay on british airways from bru to lhr that was due to staff shortages. they announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. we had to wait the full 2 hours inside the airplane. the plane was old, dirty, had no power at the seats. the staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. there were no options to purchase food or drink. there were no entertainment options available. i am a oneworld emerald elite member but they do not upgrade members based on status. first class lounges at heathrow are overcrowded, understaffed and poorly equipped. the help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. the avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. british has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than ryanair or easyjet.",-0.9209,Negative
40,"flight was smooth and quick. boarded on time, but it took ages to get to the runway due to congestion. flight was smooth and quick. snack and drinks were good for a short flight. landed only about ten minutes late. one bag of three left in london, forms quickly filled in, and the bag was delivered the next morning.",0.5927,Positive
41,"absolutely hopeless airline. 5 days before the flight, we were advised by ba that it had been cancelled and asked us to rebook. there were flights 1 hour before and 1 hour after our original flight but they made us take one 3 hours earlier. our original ticket (and the return flight a week later) included a checked bag. when we arrive at heathrow to check in we are told our ticket doesn't included a bag and we will have to pay 75 pounds each to take them. we explained that the original ticket had the bags and when they checked the system they confirmed that it did- but not this one! they would make no effort to sort it out and just told us to pay up or they would remove us from the flight. so we had no choice but to pay up, thinking it should be pretty easy to get a refund. 15 months and 10 emails later we have still not seen a penny. every time i ask where my refund is and state how long we have been waiting i get an inane email saying some departments take longer than others to respond!  absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake they had made in their system, compounded by being be unable to investigate a very simple claim, and refund me 150 pounds in 15 months.",-0.8489,Negative
42,"customer service is non existent. we traveled to lisbon for our dream vacation, a cruise to portugal and spain. our friends did not ever get their luggage. it was a two week cruise. two weeks without a change of clothes or her cpap machine. contacting customer service was a nightmare. we never talked to a real person. very little effort was put into getting them their bags. in one port we were on the ship and the bags were at the airport. the airlines did not deliver the bags nor did they tell our friends that they needed to go get them. the airline couldn’t be bothered to take the bags from the airport to the ship. ba says it is their policy to get you your bags within 72 hours. that is a joke! it’s been over two weeks and they still don’t have them. they are back home in the us and last they heard the bags were in lisbon! if your have a choice, do not fly british airways. customer service is non existent!",0.8392,Positive
43,"i can’t imagine a worst airline. booked a flight from bucharest to manchester with a 2h 45’ layover at heathrow. flight was delayed from bucharest because of atc strike. arrived at heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with ba at heathrow). i missed my connecting flight because of their delays and they told me i had to wait all night in a freezing airport for the first flight the next day. there was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at lhr. no accommodation offered and had to sleep in a very cold airport. i asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  i can’t imagine a worst airline than ba regarding customer care. it is not about money here but rather than the way they treat customers. it is the last time in my lifetime that i will be flying this joke of an airline.",-0.6858,Negative
44,"sufficient leg and arm room. booked online months ago and the only hitch was replacement aircraft meaning chosen seats were different. i was informed of this prior to departure so could amend. bag drop at man t3 wasn't smooth but i suspect that was man fault. shuttle boarding was slow and delayed meaning a rush at lhr t5. the flight to cpt was full but we left more or less on time. the cabin was clean and pe was what we expected, sufficient leg and arm room plus a few little perks with drinks. only complaint is the seats actually recline too far. staff were very good during the first few hours of service, especially george. food was quite tasty but one option wasn't loaded. breakfast was also quite tasty and we landed on time. the fly in the ointment is both our cases arrived late on the carousel and only later did we notice both had been broken into, likely at cpt. all in all a pleasant surprise.",-0.0671,Neutral
45,"crew were polite. the flight was on time. the crew were polite. it was the same story on my outward flight. i find that ba in europe is generally pretty good, though i regret that they have substituted prosecco for champagne on the list of drinks you can buy in economy! so many complaints about ba and other airlines revolve around lost luggage that i never check in bags, even for long trips.",0.1315,Neutral
46,"angry, disappointed, and unsatisfied. angry, disappointed, and unsatisfied. my route was from london to atlanta. my suitcase was not boarded, therefore not landed with me. for both comfort and safety reason, a bag always fly with its passenger and that did not happen. claims and few phone calls were made by desk assistants who answered my questions unprofessionally and miserably. certainly, i was left with nothing but my backpack which contained not more than few snacks. neither clothes nor anything else was ever provided as an apology. meanwhile, i was also told that my bag would have been delivered through the next 24 hours which also did not happen. british airways is a great airline to fly with but its organization, when it comes to customer service, is poor and uncertain. still waiting for my bag.",-0.4118,Neutral
47,"ba now stands for basic airways. as an infrequent flyer, british airways was always my first choice. with some reassurance and comfort of service, quality, luggage allowance etc. in fact i’ve never flown with the budget airlines. my most recent flight has now changed my view and causes me to reflect on what am i actually getting for my money and is ba what they once were. while the flights were around an hour delayed both ways, the cabin and ground staff service were ok. it is the facilities (or lack of) that i am most disappointed by. the flight was approx 4 and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake. in fact on my return journey i wasn’t even offered the water! to top it off ba no longer have a media screen from which you can select something to pass the time away. there wasn’t even the obligatory flight journey. the wifi was poor. i couldn’t even access the shop. however, for a fee so much more was available. this explains bas record profit of £1.52bn. so, the question is, what am i paying for? i will now for sure opt for the budget airlines. they are transparent with what they offer and what you have to pay for, which i can decide to choose or not. as ba now stands for basic airways i’ll go elsewhere and get basic for cheaper.",-0.3788,Neutral
48,"a totally unremarkable flight. a totally unremarkable flight, on time, as comfortable as european configuration goes. no catering due to the storm - effect greatly exaggerated. this was advised by email, and a euro 15 was provided - not easy to use - but lounge made up for this loss.",-0.6042,Negative
